x_coordinate,y_coordinate,city,state,lat,lon
-5961.513053,2236.041996,Montgomery, Alabama,32.361538,-86.279118
-9287.821355,4028.410983,Juneau, Alaska,58.301935,-134.41974
-7743.816805,2311.143387,Phoenix, Arizona,33.448457,-112.073844
-6379.680295,2400.107649,Little Rock, Arkansas,34.736009,-92.331122
-8392.976246,2664.025176,Sacramento, California,38.555605,-121.468926
-7253.950857,2745.804159,Denver, Colorado,39.7391667,-104.984167
-5021.665662,2885.918649,Hartford, Connecticut,41.767,-72.677
-5218.571379,2705.918983,Dover, Delaware,39.161921,-75.526755
-5822.883103,2104.087378,Tallahassee, Florida,30.4518,-84.27277
-5830.983188,2332.669658,Atlanta, Georgia,33.76,-84.39
-10905.10504,1472.356075,Honolulu, Hawaii,21.30895,-157.826182
-8031.51782,3013.520309,Boise, Idaho,43.613739,-116.237651
-6194.45216,2748.850124,Springfield, Illinois,39.78325,-89.650373
-5952.431603,2749.381607,Indianapolis, Indiana,39.790942,-86.147685
-6468.796015,2873.753598,Des Moines, Iowa,41.590939,-93.620866
-6611.764205,2697.49477,Topeka, Kansas,39.04,-95.69
-5863.673038,2639.266057,Frankfort, Kentucky,38.197274,-84.86311
-6297.394751,2104.52199,Baton Rouge, Louisiana,30.45809,-91.140229
-4820.477118,3062.564136,Augusta, Maine,44.323535,-69.765261
-5285.898333,2692.861561,Annapolis, Maryland,38.972945,-76.501157
-4907.692362,2918.26924,Boston, Massachusetts,42.2352,-71.0275
-5841.810479,2952.69961,Lansing, Michigan,42.7335,-84.5467
-6432.391858,3105.850152,Saint Paul, Minnesota,44.95,-93.094
-6232.912673,2233.1719,Jackson, Mississippi,32.32,-90.207
-6369.879835,2665.223916,Jefferson City, Missouri,38.572954,-92.189283
-7740.58223,3219.568143,Helena, Montana,46.595805,-112.027031
-6679.847274,2819.784977,Lincoln, Nebraska,40.809868,-96.675345
-8274.473795,2705.851822,Carson City, Nevada,39.160949,-119.753877
-4943.734526,2986.321077,Concord, New Hampshire,43.220093,-71.549127
-5165.325085,2779.147951,Trenton, New Jersey,40.221741,-74.756138
-7321.6928,2464.451053,Santa Fe, New Mexico,35.667231,-105.964575
-5097.970699,2947.609263,Albany, New York,42.659829,-73.781339
-5433.544922,2471.621041,Raleigh, North Carolina,35.771,-78.638
-6963.392322,3372.790406,Bismarck, North Dakota,48.813343,-100.779004
-5734.984919,2761.217902,Columbus, Ohio,39.962245,-83.000647
-6739.245293,2451.673744,Oklahoma City, Oklahoma,35.482309,-97.534994
-8500.781583,3104.544866,Salem, Oregon,44.931109,-123.029159
-5311.77162,2782.467859,Harrisburg, Pennsylvania,40.269789,-76.875613
-4934.959722,2889.826009,Providence, Rhode Island,41.82355,-71.422132
-5599.167231,2349.252618,Columbia, South Carolina,34,-81.035
-6932.808784,3065.634125,Pierre, South Dakota,44.367966,-100.336378
-5996.398211,2498.844733,Nashville, Tennessee,36.165,-86.784
-6754.101276,2091.29549,Austin, Texas,30.266667,-97.75
-7731.295151,2815.973108,Salt Lake City, Utah,40.7547,-111.892622
-5014.406471,3058.615664,Montpelier, Vermont,44.26639,-72.57194
-5352.150228,2593.851273,Richmond, Virginia,37.54,-77.46
-8491.378907,3250.427165,Olympia, Washington,47.042418,-122.893077
-5640.506753,2649.784006,Charleston, West Virginia,38.349497,-81.633294
-6176.077619,2976.276571,Madison, Wisconsin,43.074722,-89.384444
-7241.366809,2842.97901,Cheyenne, Wyoming,41.145548,-104.802042
